old_path,new_path
/support/qr-code-management-asset/,/en/support
/support/machine-geolocation-mobile-cmms/,/en/support
/support/add-documents-equipment-cmms/,/en/support
/support/add-documents-cmms/,/en/support
/support/manage-counters-cmms/,/en/support
/support/electrical-installation-cmms/,/en/support
/support/cmms-improve-management-tools/,/en/support
/support/manage-maintenance-industrial-property-assets/,/en/support
/support/support/cmms-official-catalogue/,/en/support
/support/spare-parts-inventory-management/,/en/support
/support/multilingual-cmms-software/,/en/support
/support/cmms-software-online-support/,/en/support
/support/follow-news-network-cmms/,/en/support
/support/easily-establish-network-cmms/,/en/support
/support/cmms-manage-documents-privacy/,/en/support
/support/maintenance-calendar-cmms/,/en/support
/support/follow-working-time-cmms/,/en/support
/support/cmms-software-create-tags/,/en/support
/support/search-piece-equipment-cmms/,/en/support
/support/analyze-maintenance-data-cmms/,/en/support
/support/maintenance-interventions-cmms/,/en/support
/support/export-files-excel-pdf-cmms/,/en/support
/support/maintenance-plan-cmms-software/,/en/support
/support/register-piece-equipment-cmms/,/en/support
/support/maintenance-work-order-cmms/,/en/support
/support/service-providers-cmms/,/en/support
/support/manage-maintenance-checklist/,/en/support
/support/duplicate-piece-equipment-cmms/,/en/support
/support/support/excel-cmms-import-data/,/en/support
/es/support/codigos-qr-gmao/,/es/support
/es/support/geolocalizar-equipamientos-gmao/,/es/support
/es/support/anadir-documentacion-equipo/,/es/support
/es/support/gestionar-documentacion-tecnica/,/es/support
/es/support/anadir-contadores-gmao/,/es/support
/es/support/instalaciones-electricas-gmao/,/es/support
/es/support/gestion-herramientas-gmao/,/es/support
/es/support/adaptar-gmao-al-mantenimiento-del-patrimonio-inmobiliario/,/es/support
/es/support/gestionar-proveedores-gmao/,/es/support
/es/support/gestionar-piezas-repuesto-inventario-gmao/,/es/support
/es/support/cambiar-idioma-software-gmao/,/es/support
/es/support/gmao-soporte-linea/,/es/support
/es/support/gmao-comunitaria-seguimiento/,/es/support
/es/support/configurar-facilmente-gmao/,/es/support
/es/support/confidencialidad-gmao/,/es/support
/es/support/gmao-calendario-planificacion/,/es/support
/es/support/seguimiento-del-mantenimiento-gmao/,/es/support
/es/support/como-crear-etiquetas-gmao/,/es/support
/es/support/duplicar-equipamiento-gmao/,/es/support
/es/support/gmao-busqueda-arbol/,/es/support
/es/support/indicadores-mantenimiento/,/es/support
/es/support/historiales-mantenimiento-gmao/,/es/support
/es/support/como-exportar-datos-gmao/,/es/support
/es/support/plan-de-mantenimiento-preventivo/,/es/support
/es/support/como-crear-ficha-de-equipamiento/,/es/support
/es/support/orden-de-trabajo-gmao/,/es/support
/es/support/checklist-mantenimiento-gmao/,/es/support
/es/support/gmao-importacion-datos/,/es/support
/de/support/support/qr-code-ips-system/,/de/support
/de/support/geolocation-ips-system/,/de/support
/de/support/ips-system-dokumentation/,/de/support
/de/support/ips-system-technische-dokumente/,/de/support
/de/support/zaehler-ips-system/,/de/support
/de/support/ips-system-elektrische-anlagen/,/de/support
/de/support/ips-system-industriewerkzeuge/,/de/support
/de/support/ips-system-wartung-immobilienbestaende-anpassen/,/de/support
/de/support/ips-system-katalog-duplizieren/,/de/support
/de/support/ersatzteile-ips-system-managen/,/de/support
/de/support/sprache-ips-system-aendern/,/de/support
/de/support/ips-system-online-kundendienst/,/de/support
/de/support/ips-software-nachrichten-folgen/,/de/support
/de/support/ips-system-parameter/,/de/support
/de/support/ips-system-datenschutz/,/de/support
/de/support/ips-system-wartungskalender/,/de/support
/de/support/ips-system-instandhaltung/,/de/support
/de/support/ips-system-labels/,/de/support
/de/support/ausstattung-ips-system/,/de/support
/de/support/verzeichnisbaum-ips-system/,/de/support
/de/support/ips-system-wartungs-indikator/,/de/support
/de/support/wartungs-verlauf-ips-system/,/de/support
/de/support/ips-system-datenexport/,/de/support
/de/support/vorbeugende-wartungsplaene-ips-system/,/de/support
/de/support/ips-software-ausstattung/,/de/support
/de/support/ips-software-wartungsauftrag/,/de/support
/de/support/dienstleister-ips-system/,/de/support
/de/support/wartungs-checkliste-ips-system/,/de/support
/de/support/wartungsdaten-kostenlos-ips-system/,/de/support
/fr/agroalimentaire/,/categories/agroalimentaire
/fr/cosmetiques/,/categories/cosmetiques
/fr/blog-gmao/,/categories/gmao
/fr/hub-fournisseurs/,/categories/hub-fournisseurs
/fr/iot-fr/,/categories/industrie-4-0-et-iot
/fr/interviews-fr/,/categories/interviews
/fr/maintenance-industrielle/,/categories/maintenance-industrielle
/fr/maintenance-preventive/,/categories/maintenance-preventive
/fr/mises-a-jour/,/categories/mises-a-jour-de-l-application
/fr/actualites/,/categories/news
/fr/pharmaceutique-sante/,/categories/pharmaceutique-et-sante
/fr/podcasts-fr/,/categories/podcasts
/cmms/,/en/categories/gmao
/hub-suppliers/,/en/categories/hub-fournisseurs
/iot-en/,/en/categories/industrie-4-0-et-iot
/interviews-en/,/en/categories/interviews
/industrial-maintenance/,/en/categories/maintenance-industrielle
/preventive-maintenance/,/en/categories/maintenance-preventive
/application-updates/,/en/categories/mises-a-jour-de-l-application
/news/,/en/categories/news
/pharmaceuticals-health/,/en/categories/pharmaceutique-et-sante
/cosmetics/,/en/categories/cosmetiques
/podcasts-en/,/en/categories/podcasts
/es/gmao-es/,/es/categories/gmao
/es/hub-proveedores/,/es/categories/hub-fournisseurs
/es/iot-es/,/es/categories/industrie-4-0-et-iot
/es/entrevistas/,/es/categories/interviews
/es/mantenimiento-industrial/,/es/categories/maintenance-industrielle
/es/mantenimiento-preventivo/,/es/categories/maintenance-preventive
/es/actualizaciones-aplicacion/,/es/categories/mises-a-jour-de-l-application
/es/actualidades/,/es/categories/news
/es/farmaceuticos-salud/,/es/categories/pharmaceutique-et-sante
/es/cosmetica/,/es/categories/cosmetiques
/de/ips-system/,/de/categories/gmao
/de/hub-lieferanten/,/de/categories/hub-fournisseurs
/de/iot-de/,/de/categories/industrie-4-0-et-iot
/de/interviews-de/,/de/categories/interviews
/de/industrielle-instandhaltung/,/de/categories/maintenance-industrielle
/de/vorbeugende-wartung/,/de/categories/maintenance-preventive
/de/pharma-gesundheit/,/de/categories/pharmaceutique-et-sante
/de/agrobusiness/,/de/categories/agroalimentaire
/blog/cmms-certification-iso-27001,/blog/gmao-certification-iso-27001
/blog/cmms-packaging-maintenance,/blog/gmao-packaging-maintenance
/blog/covid-19-cmms-maintenance-medical,/blog/covid-19-gmao-maintenance-medical
/blog/facility-management-definition-and-trends,/blog/facility-management-definition-et-tendances
/blog/french-tech-las-vegas-ces-2016-2,/blog/french-tech-las-vegas-ces-2016
/blog/meet-mobility-work-web-summit-2016,/blog/mobility-work-web-summit-2016
/blog/mobility-work-culture-for-change,/blog/mobility-work-culture-changement
/blog/mobility-work-french-tech-tour-china,/blog/mobility-work-french-tech-tour-china-2018
/blog/mobility-work-preparing-ces-2019,/blog/mobility-work-se-prepare-ces-2019
/blog/retrospective-cmms-2020,/blog/retrospective-gmao-2020
/blog/smart-industries-event-2018,/blog/smart-industries-2018
/blog/ux-series-10-mobility-work-lipotec,/blog/ux-series-14-mobility-work-losc
/blog/ux-series-cmms-cuisines-morel,/blog/ux-series-gmao-cuisines-morel
/es/blog/facility-management-definicion-tendencias,/blog/facility-management-definition-et-tendances
/es/blog/gmao-checklist-tasa-horaria,/blog/gmao-checklist-taux-horaire
/es/blog/ux-series-10-mobility-work-lipotec,/blog/ux-series-14-mobility-work-losc
/es/blog/ux-series-5-mobility-work-fmgc,/blog/ux-series-5-mobility-work-chez-fmgc
/es/blog/ux-series-gmao-cuisines-morel,/blog/ux-series-gmao-cuisines-morel
/fr/blog/5-types-maintenance,/blog/5-types-maintenance
/fr/blog/6-clefs-une-maintenance-preventive-reussie,/blog/6-clefs-une-maintenance-preventive-reussie
/fr/blog/achats-industriels-role-enjeux,/blog/achats-industriels-role-et-enjeux
/fr/blog/amelioration-fonction-recherche,/blog/amelioration-fonction-recherche
/fr/blog/ameliorer-maintenance-aeroports-gmao,/blog/ameliorer-maintenance-aeroports-gmao
/fr/blog/ameliorez-precision-vos-analyses-donnees,/blog/ameliorez-precision-vos-analyses-donnees
